[2025-02-07 15:08:16:534 ] [background-preinit] INFO  [org.hibernate.validator.internal.util.Version.<clinit>:21] - HV000001: Hibernate Validator 8.0.1.Final 
[2025-02-07 15:08:16:555 ] [restartedMain] INFO  [org.springframework.boot.StartupInfoLogger.logStarting:50] - Starting NovabookFrontApplication using Java 21.0.3 with PID 57177 (/Users/isehui/nhn-academy/supernova-v2/novabook-front/target/classes started by isehui in /Users/isehui/nhn-academy/supernova-v2/novabook-front) 
[2025-02-07 15:08:16:555 ] [restartedMain] INFO  [org.springframework.boot.SpringApplication.logStartupProfileInfo:660] - The following 1 profile is active: "prod" 
[2025-02-07 15:08:16:573 ] [restartedMain] INFO  [org.springframework.boot.logging.DeferredLog.logTo:252] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
[2025-02-07 15:08:16:573 ] [restartedMain] INFO  [org.springframework.boot.logging.DeferredLog.logTo:252] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
[2025-02-07 15:08:17:1018] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected:295] - Multiple Spring Data modules found, entering strict repository configuration mode 
[2025-02-07 15:08:17:1018] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:143] - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
[2025-02-07 15:08:17:1028] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:211] - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces. 
[2025-02-07 15:08:17:1222] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected:295] - Multiple Spring Data modules found, entering strict repository configuration mode 
[2025-02-07 15:08:17:1223] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:143] - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
[2025-02-07 15:08:17:1315] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:211] - Finished Spring Data repository scanning in 91 ms. Found 4 Redis repository interfaces. 
[2025-02-07 15:08:17:1469] [restartedMain] INFO  [org.springframework.cloud.context.scope.GenericScope.setSerializationId:282] - BeanFactory id=4a6fbfa6-428a-35e7-96be-b1a1aa5de352 
[2025-02-07 15:08:17:1841] [restartedMain] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:111] - Tomcat initialized with port 8080 (http) 
[2025-02-07 15:08:17:1847] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Initializing ProtocolHandler ["http-nio-8080"] 
[2025-02-07 15:08:17:1848] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Starting service [Tomcat] 
[2025-02-07 15:08:17:1848] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Starting Servlet engine: [Apache Tomcat/10.1.24] 
[2025-02-07 15:08:17:1869] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Initializing Spring embedded WebApplicationContext 
[2025-02-07 15:08:17:1870] [restartedMain] INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296] - Root WebApplicationContext: initialization completed in 1296 ms 
[2025-02-07 15:08:18:2086] [restartedMain] INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer.startServer:59] - LiveReload server is running on port 35729 
[2025-02-07 15:08:18:2116] [restartedMain] INFO  [org.springframework.cloud.openfeign.FeignClientFactoryBean.getTarget:468] - For 'gateway-service' URL not provided. Will try picking an instance via load-balancing. 
